id,species,class,weapon,draw_type,season_dates,unit_group,hunter_choice_number_ke,quota,season_start_date,season_end_date
175,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021",211 - 213,Hunter Choice Number 371,50,2021-11-05,2021-11-30
176,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 17, 2021 - Oct 30, 2021",221 - 223,Hunter Choice Number 372,130,2021-10-17,2021-10-30
177,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 31, 2021 - Nov 08, 2021",221 - 223,Hunter Choice Number 373,20,2021-10-31,2021-11-08
178,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 16, 2021",221 - 223,Hunter Choice Number 374,220,2021-10-05,2021-10-16
179,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Oct 31, 2021",241 - 245,Hunter Choice Number 375,120,2021-10-05,2021-10-31
180,Mule Deer,Antlered,Any Legal Weapon,Resident,"Oct 05, 2021 - Nov 02, 2021",251 - 254,Hunter Choice Number 376,30,2021-10-05,2021-11-02
181,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021",261 - 268,Hunter Choice Number 377,75,2021-11-05,2021-11-30
182,Mule Deer,Antlered,Any Legal Weapon,Resident,"Nov 05, 2021 - Nov 30, 2021","271, 272",Hunter Choice Number 378,25,2021-11-05,2021-11-30
183,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",14,Hunter Choice Number 379,10,2021-08-10,2021-09-09
184,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",15,Hunter Choice Number 380,5,2021-08-10,2021-09-09
185,Mule Deer,Antlered,Archery,Resident,"Dec 01, 2021 - Dec 10, 2021",21,Hunter Choice Number 381,15,2021-12-01,2021-12-10
186,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",22,Hunter Choice Number 382,15,2021-08-10,2021-09-09
187,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",31,Hunter Choice Number 383,20,2021-08-10,2021-09-09
188,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",32,Hunter Choice Number 384,60,2021-08-10,2021-09-09
189,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",33,Hunter Choice Number 385,10,2021-08-10,2021-09-09
190,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",34,Hunter Choice Number 386,7,2021-08-10,2021-09-09
191,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",35,Hunter Choice Number 387,60,2021-08-10,2021-09-09
192,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",51,Hunter Choice Number 388,55,2021-08-10,2021-09-09
193,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",65,Hunter Choice Number 389,5,2021-08-10,2021-09-09
194,Mule Deer,Antlered,Archery,Resident,"Nov 10, 2021 - Nov 20, 2021",81,Hunter Choice Number 390,10,2021-11-10,2021-11-20
195,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",121,Hunter Choice Number 391,15,2021-08-10,2021-09-09
196,Mule Deer,Antlered,Archery,Resident,"Nov 10, 2021 - Nov 20, 2021",121,Hunter Choice Number 392,3,2021-11-10,2021-11-20
197,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",192,Hunter Choice Number 393,15,2021-08-10,2021-09-09
198,Mule Deer,Antlered,Archery,Resident,"Dec 01, 2021 - Jan 01, 2022",192,Hunter Choice Number 394,20,2021-12-01,2022-01-01
199,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",195,Hunter Choice Number 395,5,2021-08-10,2021-09-09
200,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",203,Hunter Choice Number 396,15,2021-08-10,2021-09-09
201,Mule Deer,Antlered,Archery,Resident,"Dec 16, 2021 - Jan 01, 2022",203,Hunter Choice Number 397,15,2021-12-16,2022-01-01
202,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",231,Hunter Choice Number 398,40,2021-08-10,2021-09-09
203,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",291,Hunter Choice Number 399,15,2021-08-10,2021-09-09
204,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",011 - 013,Hunter Choice Number 400,20,2021-08-10,2021-09-09
205,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","041, 042",Hunter Choice Number 401,15,2021-08-10,2021-09-09
206,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",043 - 046,Hunter Choice Number 402,60,2021-08-10,2021-09-09
207,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","061, 062, 064, 066 - 068",Hunter Choice Number 403,270,2021-08-10,2021-09-09
208,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","071 - 079, 091",Hunter Choice Number 404,280,2021-08-10,2021-09-09
209,Mule Deer,Antlered,Archery,Resident,"Nov 10, 2021 - Nov 20, 2021","071 - 079, 091",Hunter Choice Number 405,30,2021-11-10,2021-11-20
210,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",101 - 109,Hunter Choice Number 406,500,2021-08-10,2021-09-09
211,Mule Deer,Antlered,Archery,Resident,"Nov 10, 2021 - Nov 20, 2021",101 - 109,Hunter Choice Number 407,20,2021-11-10,2021-11-20
212,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",111 - 113,Hunter Choice Number 408,30,2021-08-10,2021-09-09
213,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","114, 115",Hunter Choice Number 409,70,2021-08-10,2021-09-09
214,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",131 - 134,Hunter Choice Number 410,60,2021-08-10,2021-09-09
215,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",141 - 145,Hunter Choice Number 411,200,2021-08-10,2021-09-09
216,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",151 - 156,Hunter Choice Number 412,60,2021-08-10,2021-09-09
217,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",161 - 164,Hunter Choice Number 413,140,2021-08-10,2021-09-09
218,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",171 - 173,Hunter Choice Number 414,200,2021-08-10,2021-09-09
219,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",181 - 184,Hunter Choice Number 415,60,2021-08-10,2021-09-09
220,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","194, 196",Hunter Choice Number 416,15,2021-08-10,2021-09-09
221,Mule Deer,Antlered,Archery,Resident,"Dec 01, 2021 - Jan 01, 2022","194, 196",Hunter Choice Number 417,18,2021-12-01,2022-01-01
222,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","201 - 202, 204 - 208",Hunter Choice Number 418,5,2021-08-10,2021-09-09
223,Mule Deer,Antlered,Archery,Resident,"Dec 16, 2021 - Jan 01, 2022","201, 204",Hunter Choice Number 419,5,2021-12-16,2022-01-01
224,Mule Deer,Antlered,Archery,Resident,"Dec 16, 2021 - Jan 01, 2022","202, 205 - 208",Hunter Choice Number 420,5,2021-12-16,2022-01-01
225,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",211 - 213,Hunter Choice Number 421,15,2021-08-10,2021-09-09
226,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",221 - 223,Hunter Choice Number 422,65,2021-08-10,2021-09-09
227,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",241 - 245,Hunter Choice Number 423,15,2021-08-10,2021-09-09
228,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",251 - 254,Hunter Choice Number 424,8,2021-08-10,2021-09-09
229,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021",261 - 268,Hunter Choice Number 425,15,2021-08-10,2021-09-09
230,Mule Deer,Antlered,Archery,Resident,"Aug 10, 2021 - Sep 09, 2021","271, 272",Hunter Choice Number 426,10,2021-08-10,2021-09-09
